Aluno: Arthur Cadore M. Barcella -  Tabela do estado: AC
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,0,84,644627,0,13
4/2020,38,724,644627,5,112
5/2020,258,11630,644627,40,1804
6/2020,434,14068,644627,67,2182
7/2020,332,12744,644627,51,1976
8/2020,162,10044,644627,25,1558
9/2020,94,7150,644627,14,1109
10/2020,68,5148,644627,10,798
11/2020,60,10926,644627,9,1694
12/2020,144,10722,644627,22,1663
1/2021,144,13694,644627,22,2124
2/2021,262,18134,644627,40,2813
3/2021,528,24246,644627,81,-2901
4/2021,534,16292,644627,82,2527
5/2021,266,9442,644627,41,1464
6/2021,152,6064,644627,23,940
7/2021,122,3170,644627,18,491
8/2021,30,1364,644627,4,211
9/2021,48,202,644627,7,31
10/2021,14,252,644627,2,39
11/2021,3,173,644627,0,26
12/2021,3,171,644627,0,26
1/2022,20,12876,644627,3,1997
2/2022,101,19323,644627,15,2997
