Aluno: Arthur Cadore M. Barcella -  Tabela do estado: AL
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,2,36,2178152,0,1
4/2020,92,2054,2178152,4,94
5/2020,792,18486,2178152,36,848
6/2020,1218,51348,2178152,55,385
7/2020,1030,47526,2178152,47,210
8/2020,640,38158,2178152,29,-219
9/2020,370,16150,2178152,16,741
10/2020,332,7820,2178152,15,359
11/2020,202,8390,2178152,9,385
12/2020,300,19668,2178152,13,902
1/2021,514,25900,2178152,23,-782
2/2021,509,27959,2178152,23,-688
3/2021,1107,43485,2178152,50,24
4/2021,1332,40344,2178152,61,-119
5/2021,1062,38768,2178152,48,-191
6/2021,1178,47342,2178152,54,201
7/2021,938,26486,2178152,43,-755
8/2021,526,11628,2178152,24,533
9/2021,282,4872,2178152,12,223
10/2021,158,3812,2178152,7,175
11/2021,120,2748,2178152,5,126
12/2021,62,1180,2178152,2,54
1/2022,116,32320,2178152,5,-488
2/2022,486,66598,2178152,22,-886
