Aluno: Arthur Cadore M. Barcella -  Tabela do estado: AM
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,6,350,3163680,0,11
4/2020,844,10158,3163680,26,321
5/2020,3254,72248,3163680,102,-431
6/2020,1542,58890,3163680,48,503
7/2020,890,60234,3163680,28,546
8/2020,762,38712,3163680,24,-133
9/2020,786,38060,3163680,24,-154
10/2020,1002,44714,3163680,31,55
11/2020,702,33034,3163680,22,-313
12/2020,782,45626,3163680,24,84
1/2021,5664,132762,3163680,179,123
2/2021,5486,97388,3163680,173,363
3/2021,2310,66070,3163680,73,-626
4/2021,1224,43306,3163680,38,11
5/2021,716,31284,3163680,22,-368
6/2021,656,31342,3163680,20,-366
7/2021,428,29246,3163680,13,-433
8/2021,320,15138,3163680,10,478
9/2021,72,4390,3163680,2,138
10/2021,94,2624,3163680,2,82
11/2021,66,4312,3163680,2,136
12/2021,49,6513,3163680,1,205
1/2022,115,96063,3163680,3,321
2/2022,166,43639,3163680,5,21
