Aluno: Arthur Cadore M. Barcella -  Tabela do estado: AP
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,0,20,674529,0,2
4/2020,68,2140,674529,10,317
5/2020,376,17044,674529,55,2526
6/2020,390,37780,674529,57,-766
7/2020,296,15952,674529,43,2364
8/2020,192,13450,674529,28,1993
9/2020,96,10122,674529,14,1500
10/2020,78,7842,674529,11,1162
11/2020,118,13912,674529,17,2062
12/2020,236,18140,674529,34,2689
1/2021,268,17680,674529,39,2621
2/2021,162,13244,674529,24,1963
3/2021,324,27758,674529,48,-2252
4/2021,482,16424,674529,71,2434
5/2021,306,12736,674529,45,1888
6/2021,278,10132,674529,41,1502
7/2021,144,8060,674529,21,1194
8/2021,92,2418,674529,13,358
9/2021,56,818,674529,8,121
10/2021,20,1582,674529,2,234
11/2021,24,2044,674529,3,303
12/2021,24,3345,674529,3,495
1/2022,29,24977,674529,4,-2664
2/2022,51,8138,674529,7,1206
