Aluno: Arthur Cadore M. Barcella -  Tabela do estado: BA
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,4,434,7743968,0,5
4/2020,208,5300,7743968,2,68
5/2020,1122,31050,7743968,14,-153
6/2020,2372,109830,7743968,30,-245
7/2020,3220,185694,7743968,41,179
8/2020,3868,181146,7743968,49,120
9/2020,2694,107598,7743968,34,-274
10/2020,1756,85262,7743968,22,-8
11/2020,1292,99828,7743968,16,179
12/2020,1722,180658,7743968,22,114
1/2021,1936,189412,7743968,25,227
2/2021,3444,191862,7743968,44,259
3/2021,7022,239254,7743968,90,-238
4/2021,6294,194354,7743968,81,-263
5/2021,5528,222718,7743968,71,102
6/2021,5542,225588,7743968,71,139
7/2021,3400,134693,7743968,43,75
8/2021,1479,55551,7743968,19,162
9/2021,645,20979,7743968,8,270
10/2021,606,31381,7743968,7,-149
11/2021,406,24560,7743968,5,-237
12/2021,266,14637,7743968,3,189
1/2022,438,92454,7743968,5,84
2/2022,1237,138856,7743968,15,129
