Aluno: Arthur Cadore M. Barcella -  Tabela do estado: CE
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,14,802,3216968,0,24
4/2020,970,14920,3216968,30,463
5/2020,5036,81256,3216968,156,-144
6/2020,6272,123988,3216968,194,-151
7/2020,3092,128358,3216968,96,-15
8/2020,1434,80582,3216968,44,-165
9/2020,1170,52412,3216968,36,294
10/2020,718,66052,3216968,22,-616
11/2020,550,54132,3216968,17,347
12/2020,730,69482,3216968,22,-510
1/2021,968,75238,3216968,30,-331
2/2021,1622,105800,3216968,50,618
3/2021,5722,226116,3216968,177,353
4/2021,7128,270296,3216968,221,391
5/2021,5522,254036,3216968,171,-113
6/2021,4258,170044,3216968,132,-54
7/2021,1832,64898,3216968,56,-652
8/2021,1012,24710,3216968,31,-566
9/2021,310,12741,3216968,9,396
10/2021,276,3201,3216968,8,99
11/2021,162,6136,3216968,5,190
12/2021,147,6525,3216968,4,202
1/2022,439,168351,3216968,13,-107
2/2022,1060,101827,3216968,32,495
