Aluno: Arthur Cadore M. Barcella -  Tabela do estado: DF
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,6,666,3015268,0,22
4/2020,54,2180,3015268,1,72
5/2020,280,16714,3015268,9,554
6/2020,834,78876,3015268,27,-232
7/2020,1764,114148,3015268,58,-487
8/2020,2104,111500,3015268,69,-575
9/2020,1468,60406,3015268,48,578
10/2020,856,42000,3015268,28,-31
11/2020,494,31802,3015268,16,-369
12/2020,658,45110,3015268,21,71
1/2021,590,50818,3015268,19,260
2/2021,568,39168,3015268,18,-125
3/2021,2382,95340,3015268,78,313
4/2021,3538,68838,3015268,117,-565
5/2021,1744,54240,3015268,57,374
6/2021,1143,48291,3015268,37,177
7/2021,757,40235,3015268,25,-90
8/2021,868,40610,3015268,28,-77
9/2021,820,49556,3015268,27,219
10/2021,826,39374,3015268,27,-118
11/2021,316,5620,3015268,10,186
12/2021,146,4130,3015268,4,136
1/2022,132,173908,3015268,4,69
2/2022,411,139638,3015268,13,357
