Aluno: Arthur Cadore M. Barcella -  Tabela do estado: ES
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,0,194,4018650,0,4
4/2020,186,5182,4018650,4,128
5/2020,1022,22004,4018650,25,-521
6/2020,2086,66406,4018650,51,-485
7/2020,1794,72798,4018650,44,-326
8/2020,1228,55942,4018650,30,323
9/2020,774,40454,4018650,19,-62
10/2020,612,47477,4018650,15,112
11/2020,856,69545,4018650,21,-406
12/2020,1604,116500,4018650,39,-307
1/2021,1554,91756,4018650,38,145
2/2021,1094,64352,4018650,27,532
3/2021,2190,112350,4018650,54,-410
4/2021,4048,108402,4018650,100,-508
5/2021,2548,90912,4018650,63,124
6/2021,1362,71696,4018650,33,-353
7/2021,820,50042,4018650,20,176
8/2021,717,39224,4018650,17,-92
9/2021,467,35422,4018650,11,-187
10/2021,532,34981,4018650,13,-198
11/2021,261,13247,4018650,6,329
12/2021,148,9416,4018650,3,234
1/2022,196,218363,4018650,4,89
2/2022,608,174113,4018650,15,57
