Aluno: Arthur Cadore M. Barcella -  Tabela do estado: GO
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,2,130,2923371,0,4
4/2020,56,1432,2923371,1,48
5/2020,190,5890,2923371,6,201
6/2020,734,42368,2923371,25,-19
7/2020,2372,88678,2923371,81,95
8/2020,2964,129094,2923371,101,8
9/2020,3092,154888,2923371,105,-578
10/2020,2100,88812,2923371,71,99
11/2020,1236,48492,2923371,42,189
12/2020,864,58436,2923371,29,529
1/2021,1362,83238,2923371,46,-91
2/2021,2068,90374,2923371,70,153
3/2021,6382,180978,2923371,218,313
4/2021,6682,132112,2923371,228,111
5/2021,4166,116246,2923371,142,-431
6/2021,4226,133812,2923371,144,169
7/2021,3106,130456,2923371,106,54
8/2021,3388,153552,2923371,115,-624
9/2021,2038,90486,2923371,69,156
10/2021,1366,80914,2923371,46,-170
11/2021,651,60830,2923371,22,611
12/2021,154,11559,2923371,5,395
1/2022,342,89148,2923371,11,111
2/2022,723,129881,2923371,24,35
