Aluno: Arthur Cadore M. Barcella -  Tabela do estado: MA
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,2,102,4088532,0,2
4/2020,406,6910,4088532,9,169
5/2020,1544,63582,4088532,37,504
6/2020,2144,90308,4088532,52,107
7/2020,1930,80420,4088532,47,-134
8/2020,866,61908,4088532,21,463
9/2020,620,43898,4088532,15,23
10/2020,594,24526,4088532,14,-450
11/2020,486,14686,4088532,11,359
12/2020,408,15536,4088532,9,379
1/2021,394,13100,4088532,9,320
2/2021,710,23638,4088532,17,-472
3/2021,2036,46188,4088532,49,79
4/2021,2412,49018,4088532,58,148
5/2021,1728,46778,4088532,42,93
6/2021,1806,54294,4088532,44,277
7/2021,1186,39340,4088532,29,-88
8/2021,790,23896,4088532,19,-466
9/2021,240,11409,4088532,5,279
10/2021,63,4841,4088532,1,118
11/2021,57,3971,4088532,1,97
12/2021,83,5597,4088532,2,136
1/2022,111,15922,4088532,2,389
2/2022,302,26309,4088532,7,-407
