Aluno: Arthur Cadore M. Barcella -  Tabela do estado: MG
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,4,550,8961395,0,6
4/2020,160,3104,8961395,1,34
5/2020,378,17274,8961395,4,192
6/2020,1388,69074,8961395,15,-187
7/2020,3608,164210,8961395,40,-84
8/2020,5132,178902,8961395,57,79
9/2020,4050,157224,8961395,45,-162
10/2020,3211,123859,8961395,35,-55
11/2020,2151,118473,8961395,24,-115
12/2020,3722,253148,8961395,41,-50
1/2021,6316,383154,8961395,70,-37
2/2021,7010,288438,8961395,78,-136
3/2021,11534,490416,8961395,128,200
4/2021,18734,470448,8961395,209,-22
5/2021,13596,425734,8961395,151,-41
6/2021,9595,392921,8961395,107,71
7/2021,4219,162776,8961395,47,-100
8/2021,2525,99814,8961395,28,155
9/2021,11376,457562,8961395,126,-166
10/2021,1035,44889,8961395,11,21
11/2021,616,22808,8961395,6,-224
12/2021,461,15910,8961395,5,177
1/2022,655,489596,8961395,7,191
2/2022,2331,485913,8961395,26,150
