Aluno: Arthur Cadore M. Barcella -  Tabela do estado: MS
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,2,96,1610707,0,5
4/2020,16,414,1610707,0,25
5/2020,22,2626,1610707,1,163
6/2020,130,14216,1610707,8,882
7/2020,608,34126,1610707,37,-547
8/2020,1000,48162,1610707,62,323
9/2020,844,40838,1610707,52,-131
10/2020,582,24758,1610707,36,-1129
11/2020,356,35066,1610707,22,-489
12/2020,1134,69198,1610707,70,-1036
1/2021,1148,53242,1610707,71,638
2/2021,818,41220,1610707,50,-107
3/2021,2008,70952,1610707,124,-927
4/2021,2850,63152,1610707,176,1254
5/2021,2216,87288,1610707,137,86
6/2021,2701,86144,1610707,167,15
7/2021,1475,41426,1610707,91,-94
8/2021,738,22302,1610707,45,-1281
9/2021,182,4198,1610707,11,260
10/2021,82,3417,1610707,5,212
11/2021,41,2372,1610707,2,147
12/2021,42,1642,1610707,2,101
1/2022,169,47631,1610707,10,290
2/2022,439,74725,1610707,27,-693
