Aluno: Arthur Cadore M. Barcella -  Tabela do estado: MT
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,0,50,1464976,0,3
4/2020,22,554,1464976,1,37
5/2020,104,4366,1464976,7,298
6/2020,1132,27638,1464976,77,-1045
7/2020,2399,71324,1464976,163,-994
8/2020,1358,53679,1464976,92,732
9/2020,646,31795,1464976,44,-761
10/2020,396,19578,1464976,27,1336
11/2020,2227,108980,1464976,152,-1356
12/2020,756,42938,1464976,51,0
1/2021,1218,73138,1464976,83,-871
2/2021,1354,67738,1464976,92,-1239
3/2021,3738,118896,1464976,255,-679
4/2021,4206,103514,1464976,287,1202
5/2021,2336,90828,1464976,159,336
6/2021,2150,89750,1464976,146,262
7/2021,1504,75860,1464976,102,-685
8/2021,1408,60032,1464976,96,1166
9/2021,658,33624,1464976,44,-636
10/2021,248,19712,1464976,16,1345
11/2021,142,11672,1464976,9,796
12/2021,110,10110,1464976,7,690
1/2022,496,142870,1464976,33,957
2/2022,846,155844,1464976,57,-1089
