Aluno: Arthur Cadore M. Barcella -  Tabela do estado: PA
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,0,68,4354178,0,1
4/2020,448,5930,4354178,10,136
5/2020,5398,69924,4354178,123,-366
6/2020,4074,135784,4354178,93,159
7/2020,1580,100400,4354178,36,333
8/2020,852,89864,4354178,19,91
9/2020,812,61516,4354178,18,426
10/2020,338,42674,4354178,7,-6
11/2020,334,36296,4354178,7,-152
12/2020,562,45148,4354178,12,50
1/2021,912,71368,4354178,20,-333
2/2021,1976,71850,4354178,45,-322
3/2021,3720,109922,4354178,85,-434
4/2021,5160,105228,4354178,118,443
5/2021,2880,90032,4354178,66,94
6/2021,1936,73358,4354178,44,-288
7/2021,1132,35640,4354178,25,-167
8/2021,808,23724,4354178,18,-441
9/2021,398,14422,4354178,9,331
10/2021,172,13696,4354178,3,314
11/2021,295,19026,4354178,6,436
12/2021,389,34700,4354178,8,-189
1/2022,522,48081,4354178,11,117
2/2022,860,133692,4354178,19,111
