Aluno: Arthur Cadore M. Barcella -  Tabela do estado: PB
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,2,36,3215849,0,1
4/2020,132,1816,3215849,4,56
5/2020,586,24472,3215849,18,-574
6/2020,1234,67595,3215849,38,-569
7/2020,1668,71669,3215849,51,-442
8/2020,1278,45968,3215849,39,93
9/2020,748,30978,3215849,23,-372
10/2020,554,23764,3215849,17,-596
11/2020,388,24208,3215849,12,-582
12/2020,754,42462,3215849,23,-15
1/2021,768,50200,3215849,23,225
2/2021,880,59062,3215849,27,501
3/2021,2496,76116,3215849,77,-304
4/2021,2104,66992,3215849,65,-587
5/2021,1752,76592,3215849,54,-289
6/2021,1868,130954,3215849,58,65
7/2021,762,51212,3215849,23,256
8/2021,349,19836,3215849,10,616
9/2021,125,8352,3215849,3,259
10/2021,111,4337,3215849,3,134
11/2021,107,14569,3215849,3,453
12/2021,67,3755,3215849,2,116
1/2022,120,34588,3215849,3,-260
2/2022,376,76253,3215849,11,-299
