Aluno: Arthur Cadore M. Barcella -  Tabela do estado: PE
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,12,174,3871409,0,4
4/2020,1118,13578,3871409,28,350
5/2020,4484,55148,3871409,115,315
6/2020,4044,48816,3871409,104,151
7/2020,3456,72294,3871409,89,-351
8/2020,2072,61068,3871409,53,468
9/2020,1316,43264,3871409,33,8
10/2020,752,31444,3871409,19,-297
11/2020,820,39026,3871409,21,-101
12/2020,1234,79520,3871409,31,-164
1/2021,1388,78268,3871409,35,-197
2/2021,1296,76350,3871409,33,-246
3/2021,2358,99512,3871409,60,351
4/2021,3726,114708,3871409,96,-365
5/2021,3648,151144,3871409,94,-533
6/2021,3646,136270,3871409,94,191
7/2021,2198,80986,3871409,56,-126
8/2021,1198,33488,3871409,30,-244
9/2021,714,26388,3871409,18,-427
10/2021,473,18571,3871409,12,479
11/2021,225,7845,3871409,5,202
12/2021,204,5944,3871409,5,153
1/2022,196,52586,3871409,5,248
2/2022,433,132429,3871409,11,92
