Aluno: Arthur Cadore M. Barcella -  Tabela do estado: PI
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,8,36,2069036,0,1
4/2020,40,1164,2069036,1,56
5/2020,288,9038,2069036,13,436
6/2020,1036,33880,2069036,50,-438
7/2020,1336,60798,2069036,64,862
8/2020,978,50802,2069036,47,379
9/2020,568,37980,2069036,27,-240
10/2020,554,33394,2069036,26,-461
11/2020,460,28280,2069036,22,-709
12/2020,412,30986,2069036,19,-578
1/2021,450,32222,2069036,21,-518
2/2021,574,29436,2069036,27,-653
3/2021,1578,65246,2069036,76,-998
4/2021,1966,68474,2069036,95,-842
5/2021,1656,65776,2069036,80,-972
6/2021,1344,45266,2069036,64,111
7/2021,426,26938,2069036,20,-773
8/2021,218,13682,2069036,10,661
9/2021,132,5422,2069036,6,262
10/2021,178,12804,2069036,8,618
11/2021,186,11600,2069036,8,560
12/2021,162,5720,2069036,7,276
1/2022,228,19530,2069036,11,943
2/2022,546,41976,2069036,26,-47
