Aluno: Arthur Cadore M. Barcella -  Tabela do estado: PR
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,6,370,4483227,0,8
4/2020,170,2476,4483227,3,55
5/2020,198,6658,4483227,4,148
6/2020,924,36250,4483227,20,-149
7/2020,2542,106470,4483227,56,458
8/2020,2740,111588,4483227,61,-385
9/2020,2390,93984,4483227,53,180
10/2020,1451,68416,4483227,32,-389
11/2020,1887,133956,4483227,42,113
12/2020,3640,272964,4483227,81,340
1/2021,4112,265534,4483227,91,174
2/2021,3278,195398,4483227,73,-431
3/2021,10096,398146,4483227,225,258
4/2021,11360,203178,4483227,253,-258
5/2021,8048,291592,4483227,179,-201
6/2021,8580,382632,4483227,191,-87
7/2021,9044,188390,4483227,201,370
8/2021,4534,157856,4483227,101,-310
9/2021,3192,107160,4483227,71,474
10/2021,2674,80404,4483227,59,-122
11/2021,289,23680,4483227,6,-429
12/2021,91,19339,4483227,2,431
1/2022,353,374945,4483227,7,-258
2/2022,1065,357708,4483227,23,314
