Aluno: Arthur Cadore M. Barcella -  Tabela do estado: RJ
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,46,1416,7511545,0,18
4/2020,1662,17490,7511545,22,232
5/2020,8980,87870,7511545,119,26
6/2020,9472,118446,7511545,126,-138
7/2020,6794,105768,7511545,90,264
8/2020,5176,116272,7511545,68,-167
9/2020,4844,82304,7511545,64,-47
10/2020,4226,90388,7511545,56,59
11/2020,3980,88754,7511545,52,38
12/2020,5880,160588,7511545,78,-149
1/2021,8562,172638,7511545,113,11
2/2021,6538,124154,7511545,87,-62
3/2021,7294,129662,7511545,97,10
4/2021,15358,189480,7511545,204,235
5/2021,12356,245496,7511545,164,-162
6/2021,9772,185672,7511545,130,184
7/2021,7598,147280,7511545,101,245
8/2021,6376,192654,7511545,84,277
9/2021,5692,190581,7511545,75,250
10/2021,4173,164813,7511545,55,-92
11/2021,704,21840,7511545,9,-281
12/2021,406,8897,7511545,5,118
1/2022,417,404327,7511545,5,236
2/2022,1894,238527,7511545,25,-255
