Aluno: Arthur Cadore M. Barcella -  Tabela do estado: RN
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,2,164,2195487,0,7
4/2020,110,2430,2195487,5,110
5/2020,534,13422,2195487,24,611
6/2020,1498,47912,2195487,68,226
7/2020,1626,39472,2195487,74,-158
8/2020,776,21008,2195487,35,956
9/2020,260,15522,2195487,11,706
10/2020,366,23106,2195487,16,-903
11/2020,240,29156,2195487,10,-628
12/2020,602,45806,2195487,27,130
1/2021,598,45370,2195487,27,110
2/2021,654,54024,2195487,29,504
3/2021,1823,58226,2195487,83,695
4/2021,1923,54142,2195487,87,509
5/2021,1107,76719,2195487,50,-418
6/2021,1475,160225,2195487,67,-527
7/2021,590,32273,2195487,26,-486
8/2021,354,11377,2195487,16,518
9/2021,142,7078,2195487,6,322
10/2021,110,9269,2195487,5,422
11/2021,208,17305,2195487,9,788
12/2021,145,10156,2195487,6,462
1/2022,335,83098,2195487,15,-127
2/2022,614,96968,2195487,27,504
