Aluno: Arthur Cadore M. Barcella -  Tabela do estado: RO
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,2,18,778531,0,2
4/2020,30,986,778531,3,126
5/2020,280,8880,778531,35,1140
6/2020,724,32618,778531,92,-1327
7/2020,708,35482,778531,90,-959
8/2020,552,32322,778531,70,-1365
9/2020,418,21516,778531,53,-2753
10/2020,200,11510,778531,25,1478
11/2020,208,17744,778531,26,2279
12/2020,512,30382,778531,65,-1614
1/2021,854,57868,778531,109,1916
2/2021,1212,48218,778531,155,676
3/2021,2586,76996,778531,332,-1143
4/2021,2020,50198,778531,259,931
5/2021,1210,34394,778531,155,-1098
6/2021,756,36082,778531,97,-882
7/2021,433,18545,778531,55,2382
8/2021,251,12663,778531,32,1626
9/2021,102,5336,778531,13,685
10/2021,41,4482,778531,5,575
11/2021,70,7013,778531,8,900
12/2021,94,7252,778531,12,931
1/2022,99,33687,778531,12,-1189
2/2022,231,54836,778531,29,1526
