Aluno: Arthur Cadore M. Barcella -  Tabela do estado: RR
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,0,32,420807,0,7
4/2020,14,1006,420807,3,239
5/2020,218,6346,420807,51,1508
6/2020,396,22922,420807,94,-4759
7/2020,398,35140,420807,94,-1855
8/2020,160,21968,420807,38,-4986
9/2020,122,13948,420807,28,3314
10/2020,76,13452,420807,18,3196
11/2020,72,12330,420807,17,2930
12/2020,118,10276,420807,28,2441
1/2021,138,11108,420807,32,2639
2/2021,488,15724,420807,115,3736
3/2021,492,15454,420807,116,3672
4/2021,334,13446,420807,79,3195
5/2021,252,14520,420807,59,3450
6/2021,216,17614,420807,51,4185
7/2021,220,14956,420807,52,3554
8/2021,182,7738,420807,43,1838
9/2021,106,4460,420807,25,1059
10/2021,56,2340,420807,13,556
11/2021,30,1384,420807,7,328
12/2021,27,678,420807,6,161
1/2022,18,13559,420807,4,3222
2/2022,38,11171,420807,9,2654
