Aluno: Arthur Cadore M. Barcella -  Tabela do estado: RS
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,8,610,3322640,0,18
4/2020,108,2448,3322640,3,73
5/2020,332,15606,3322640,9,469
6/2020,780,35218,3322640,23,-232
7/2020,2524,79502,3322640,75,-192
8/2020,3118,118242,3322640,93,-319
9/2020,2694,129518,3322640,81,20
10/2020,2030,114008,3322640,61,-446
11/2020,2032,148964,3322640,61,605
12/2020,4118,255232,3322640,123,-74
1/2021,3540,191433,3322640,106,590
2/2021,3451,189139,3322640,103,521
3/2021,14737,410840,3322640,443,-561
4/2021,10430,259178,3322640,313,44
5/2021,6482,221108,3322640,195,191
6/2021,6412,259992,3322640,192,69
7/2021,3872,304778,3322640,116,124
8/2021,1730,81930,3322640,52,-119
9/2021,1322,56178,3322640,39,398
10/2021,1272,59956,3322640,38,511
11/2021,1242,48730,3322640,37,173
12/2021,654,31624,3322640,19,-340
1/2022,858,638356,3322640,25,-177
2/2022,2785,655286,3322640,83,332
