Aluno: Arthur Cadore M. Barcella -  Tabela do estado: SC
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,4,470,2108831,0,22
4/2020,92,4318,2108831,4,204
5/2020,190,13286,2108831,9,630
6/2020,396,34634,2108831,18,-394
7/2020,1463,112269,2108831,69,-786
8/2020,2375,190577,2108831,112,890
9/2020,1074,75402,2108831,50,-497
10/2020,634,86924,2108831,30,48
11/2020,1296,210808,2108831,61,-186
12/2020,2982,256478,2108831,141,-57
1/2021,2174,168464,2108831,103,-158
2/2021,2036,187576,2108831,96,748
3/2021,7054,272652,2108831,334,709
4/2021,5298,162012,2108831,251,-464
5/2021,3484,160618,2108831,165,-530
6/2021,3170,168422,2108831,150,-160
7/2021,2234,122604,2108831,105,-296
8/2021,1450,85224,2108831,68,-32
9/2021,1146,72104,2108831,54,-654
10/2021,774,48540,2108831,36,265
11/2021,658,32442,2108831,31,-498
12/2021,388,21246,2108831,18,1007
1/2022,786,397952,2108831,37,540
2/2022,1335,299635,2108831,63,-48
