Aluno: Arthur Cadore M. Barcella -  Tabela do estado: SE
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,0,38,1288765,0,2
4/2020,28,868,1288765,2,67
5/2020,288,13092,1288765,22,1015
6/2020,1036,36824,1288765,80,-475
7/2020,1516,66604,1288765,117,-1497
8/2020,846,27630,1288765,65,-1188
9/2020,358,9824,1288765,27,762
10/2020,340,13772,1288765,26,1068
11/2020,204,11644,1288765,15,903
12/2020,352,44714,1288765,27,136
1/2021,588,49824,1288765,45,533
2/2021,366,27988,1288765,28,-1160
3/2021,1080,46378,1288765,83,266
4/2021,1546,54358,1288765,119,885
5/2021,1634,70252,1288765,126,-1214
6/2021,1214,53214,1288765,94,796
7/2021,424,21500,1288765,32,-1664
8/2021,164,6386,1288765,12,495
9/2021,36,1298,1288765,2,100
10/2021,39,782,1288765,3,60
11/2021,27,-578,1288765,2,-44
12/2021,27,591,1288765,2,45
1/2022,46,15527,1288765,3,1204
2/2022,152,26762,1288765,11,-1256
