Aluno: Arthur Cadore M. Barcella -  Tabela do estado: SP
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,4,29085536,0,0
3/2020,272,4674,29085536,0,16
4/2020,4478,52718,29085536,15,33
5/2020,10480,162000,29085536,36,-33
6/2020,14296,343364,29085536,49,0
7/2020,16468,521848,29085536,56,22
8/2020,14034,524076,29085536,48,29
9/2020,11216,362572,29085536,38,65
10/2020,7378,260998,29085536,25,11
11/2020,5568,251052,29085536,19,-22
12/2020,9244,441288,29085536,31,40
1/2021,12634,630142,29085536,43,-48
2/2021,12918,528520,29085536,44,45
3/2021,30318,856442,29085536,-43,-8
4/2021,43078,867720,29085536,0,30
5/2021,30366,736668,29085536,-43,22
6/2021,32614,910610,29085536,-35,29
7/2021,22630,661040,29085536,-69,57
8/2021,13680,409632,29085536,47,-68
9/2021,7759,205346,29085536,26,-32
10/2021,4485,80206,29085536,15,-19
11/2021,3800,62100,29085536,13,65
12/2021,1858,27714,29085536,6,-52
1/2022,2749,192607,29085536,9,71
2/2022,6578,368738,29085536,22,-61
