Aluno: Arthur Cadore M. Barcella -  Tabela do estado: TO
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,0,24,935996,0,2
4/2020,6,304,935996,0,32
5/2020,140,8024,935996,14,857
6/2020,262,14092,935996,27,1505
7/2020,372,28248,935996,39,-1570
8/2020,594,52566,935996,63,1027
9/2020,522,33954,935996,55,-961
10/2020,298,14038,935996,31,1499
11/2020,140,12694,935996,14,1356
12/2020,138,17128,935996,14,1829
1/2021,300,23624,935996,32,-2064
2/2021,292,24238,935996,31,-1999
3/2021,1050,54892,935996,112,1275
4/2021,1004,37072,935996,107,-627
5/2021,660,37494,935996,70,-582
6/2021,676,37908,935996,72,-538
7/2021,581,24221,935996,62,-2000
8/2021,343,17795,935996,36,1901
9/2021,129,7399,935996,13,790
10/2021,251,11777,935996,26,1258
11/2021,79,7891,935996,8,843
12/2021,29,4288,935996,3,458
1/2022,65,36261,935996,6,-714
2/2022,105,26654,935996,11,-1740
