Aquivo único de resultados (COVID 19) - Autor: Arthur Cadore M. B.
Aluno: Arthur Cadore M. Barcella -  Tabela do estado: AC
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,0,84,644627,0,13
4/2020,38,724,644627,5,112
5/2020,258,11630,644627,40,1804
6/2020,434,14068,644627,67,2182
7/2020,332,12744,644627,51,1976
8/2020,162,10044,644627,25,1558
9/2020,94,7150,644627,14,1109
10/2020,68,5148,644627,10,798
11/2020,60,10926,644627,9,1694
12/2020,144,10722,644627,22,1663
1/2021,144,13694,644627,22,2124
2/2021,262,18134,644627,40,2813
3/2021,528,24246,644627,81,-2901
4/2021,534,16292,644627,82,2527
5/2021,266,9442,644627,41,1464
6/2021,152,6064,644627,23,940
7/2021,122,3170,644627,18,491
8/2021,30,1364,644627,4,211
9/2021,48,202,644627,7,31
10/2021,14,252,644627,2,39
11/2021,3,173,644627,0,26
12/2021,3,171,644627,0,26
1/2022,20,12876,644627,3,1997
2/2022,101,19323,644627,15,2997
Aluno: Arthur Cadore M. Barcella -  Tabela do estado: AL
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,2,36,2178152,0,1
4/2020,92,2054,2178152,4,94
5/2020,792,18486,2178152,36,848
6/2020,1218,51348,2178152,55,385
7/2020,1030,47526,2178152,47,210
8/2020,640,38158,2178152,29,-219
9/2020,370,16150,2178152,16,741
10/2020,332,7820,2178152,15,359
11/2020,202,8390,2178152,9,385
12/2020,300,19668,2178152,13,902
1/2021,514,25900,2178152,23,-782
2/2021,509,27959,2178152,23,-688
3/2021,1107,43485,2178152,50,24
4/2021,1332,40344,2178152,61,-119
5/2021,1062,38768,2178152,48,-191
6/2021,1178,47342,2178152,54,201
7/2021,938,26486,2178152,43,-755
8/2021,526,11628,2178152,24,533
9/2021,282,4872,2178152,12,223
10/2021,158,3812,2178152,7,175
11/2021,120,2748,2178152,5,126
12/2021,62,1180,2178152,2,54
1/2022,116,32320,2178152,5,-488
2/2022,486,66598,2178152,22,-886
Aluno: Arthur Cadore M. Barcella -  Tabela do estado: AM
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,6,350,3163680,0,11
4/2020,844,10158,3163680,26,321
5/2020,3254,72248,3163680,102,-431
6/2020,1542,58890,3163680,48,503
7/2020,890,60234,3163680,28,546
8/2020,762,38712,3163680,24,-133
9/2020,786,38060,3163680,24,-154
10/2020,1002,44714,3163680,31,55
11/2020,702,33034,3163680,22,-313
12/2020,782,45626,3163680,24,84
1/2021,5664,132762,3163680,179,123
2/2021,5486,97388,3163680,173,363
3/2021,2310,66070,3163680,73,-626
4/2021,1224,43306,3163680,38,11
5/2021,716,31284,3163680,22,-368
6/2021,656,31342,3163680,20,-366
7/2021,428,29246,3163680,13,-433
8/2021,320,15138,3163680,10,478
9/2021,72,4390,3163680,2,138
10/2021,94,2624,3163680,2,82
11/2021,66,4312,3163680,2,136
12/2021,49,6513,3163680,1,205
1/2022,115,96063,3163680,3,321
2/2022,166,43639,3163680,5,21
Aluno: Arthur Cadore M. Barcella -  Tabela do estado: AP
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,0,20,674529,0,2
4/2020,68,2140,674529,10,317
5/2020,376,17044,674529,55,2526
6/2020,390,37780,674529,57,-766
7/2020,296,15952,674529,43,2364
8/2020,192,13450,674529,28,1993
9/2020,96,10122,674529,14,1500
10/2020,78,7842,674529,11,1162
11/2020,118,13912,674529,17,2062
12/2020,236,18140,674529,34,2689
1/2021,268,17680,674529,39,2621
2/2021,162,13244,674529,24,1963
3/2021,324,27758,674529,48,-2252
4/2021,482,16424,674529,71,2434
5/2021,306,12736,674529,45,1888
6/2021,278,10132,674529,41,1502
7/2021,144,8060,674529,21,1194
8/2021,92,2418,674529,13,358
9/2021,56,818,674529,8,121
10/2021,20,1582,674529,2,234
11/2021,24,2044,674529,3,303
12/2021,24,3345,674529,3,495
1/2022,29,24977,674529,4,-2664
2/2022,51,8138,674529,7,1206
Aluno: Arthur Cadore M. Barcella -  Tabela do estado: BA
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,4,434,7743968,0,5
4/2020,208,5300,7743968,2,68
5/2020,1122,31050,7743968,14,-153
6/2020,2372,109830,7743968,30,-245
7/2020,3220,185694,7743968,41,179
8/2020,3868,181146,7743968,49,120
9/2020,2694,107598,7743968,34,-274
10/2020,1756,85262,7743968,22,-8
11/2020,1292,99828,7743968,16,179
12/2020,1722,180658,7743968,22,114
1/2021,1936,189412,7743968,25,227
2/2021,3444,191862,7743968,44,259
3/2021,7022,239254,7743968,90,-238
4/2021,6294,194354,7743968,81,-263
5/2021,5528,222718,7743968,71,102
6/2021,5542,225588,7743968,71,139
7/2021,3400,134693,7743968,43,75
8/2021,1479,55551,7743968,19,162
9/2021,645,20979,7743968,8,270
10/2021,606,31381,7743968,7,-149
11/2021,406,24560,7743968,5,-237
12/2021,266,14637,7743968,3,189
1/2022,438,92454,7743968,5,84
2/2022,1237,138856,7743968,15,129
Aluno: Arthur Cadore M. Barcella -  Tabela do estado: CE
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,14,802,3216968,0,24
4/2020,970,14920,3216968,30,463
5/2020,5036,81256,3216968,156,-144
6/2020,6272,123988,3216968,194,-151
7/2020,3092,128358,3216968,96,-15
8/2020,1434,80582,3216968,44,-165
9/2020,1170,52412,3216968,36,294
10/2020,718,66052,3216968,22,-616
11/2020,550,54132,3216968,17,347
12/2020,730,69482,3216968,22,-510
1/2021,968,75238,3216968,30,-331
2/2021,1622,105800,3216968,50,618
3/2021,5722,226116,3216968,177,353
4/2021,7128,270296,3216968,221,391
5/2021,5522,254036,3216968,171,-113
6/2021,4258,170044,3216968,132,-54
7/2021,1832,64898,3216968,56,-652
8/2021,1012,24710,3216968,31,-566
9/2021,310,12741,3216968,9,396
10/2021,276,3201,3216968,8,99
11/2021,162,6136,3216968,5,190
12/2021,147,6525,3216968,4,202
1/2022,439,168351,3216968,13,-107
2/2022,1060,101827,3216968,32,495
Aluno: Arthur Cadore M. Barcella -  Tabela do estado: DF
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,6,666,3015268,0,22
4/2020,54,2180,3015268,1,72
5/2020,280,16714,3015268,9,554
6/2020,834,78876,3015268,27,-232
7/2020,1764,114148,3015268,58,-487
8/2020,2104,111500,3015268,69,-575
9/2020,1468,60406,3015268,48,578
10/2020,856,42000,3015268,28,-31
11/2020,494,31802,3015268,16,-369
12/2020,658,45110,3015268,21,71
1/2021,590,50818,3015268,19,260
2/2021,568,39168,3015268,18,-125
3/2021,2382,95340,3015268,78,313
4/2021,3538,68838,3015268,117,-565
5/2021,1744,54240,3015268,57,374
6/2021,1143,48291,3015268,37,177
7/2021,757,40235,3015268,25,-90
8/2021,868,40610,3015268,28,-77
9/2021,820,49556,3015268,27,219
10/2021,826,39374,3015268,27,-118
11/2021,316,5620,3015268,10,186
12/2021,146,4130,3015268,4,136
1/2022,132,173908,3015268,4,69
2/2022,411,139638,3015268,13,357
Aluno: Arthur Cadore M. Barcella -  Tabela do estado: ES
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,0,194,4018650,0,4
4/2020,186,5182,4018650,4,128
5/2020,1022,22004,4018650,25,-521
6/2020,2086,66406,4018650,51,-485
7/2020,1794,72798,4018650,44,-326
8/2020,1228,55942,4018650,30,323
9/2020,774,40454,4018650,19,-62
10/2020,612,47477,4018650,15,112
11/2020,856,69545,4018650,21,-406
12/2020,1604,116500,4018650,39,-307
1/2021,1554,91756,4018650,38,145
2/2021,1094,64352,4018650,27,532
3/2021,2190,112350,4018650,54,-410
4/2021,4048,108402,4018650,100,-508
5/2021,2548,90912,4018650,63,124
6/2021,1362,71696,4018650,33,-353
7/2021,820,50042,4018650,20,176
8/2021,717,39224,4018650,17,-92
9/2021,467,35422,4018650,11,-187
10/2021,532,34981,4018650,13,-198
11/2021,261,13247,4018650,6,329
12/2021,148,9416,4018650,3,234
1/2022,196,218363,4018650,4,89
2/2022,608,174113,4018650,15,57
Aluno: Arthur Cadore M. Barcella -  Tabela do estado: GO
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,2,130,2923371,0,4
4/2020,56,1432,2923371,1,48
5/2020,190,5890,2923371,6,201
6/2020,734,42368,2923371,25,-19
7/2020,2372,88678,2923371,81,95
8/2020,2964,129094,2923371,101,8
9/2020,3092,154888,2923371,105,-578
10/2020,2100,88812,2923371,71,99
11/2020,1236,48492,2923371,42,189
12/2020,864,58436,2923371,29,529
1/2021,1362,83238,2923371,46,-91
2/2021,2068,90374,2923371,70,153
3/2021,6382,180978,2923371,218,313
4/2021,6682,132112,2923371,228,111
5/2021,4166,116246,2923371,142,-431
6/2021,4226,133812,2923371,144,169
7/2021,3106,130456,2923371,106,54
8/2021,3388,153552,2923371,115,-624
9/2021,2038,90486,2923371,69,156
10/2021,1366,80914,2923371,46,-170
11/2021,651,60830,2923371,22,611
12/2021,154,11559,2923371,5,395
1/2022,342,89148,2923371,11,111
2/2022,723,129881,2923371,24,35
Aluno: Arthur Cadore M. Barcella -  Tabela do estado: MA
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,2,102,4088532,0,2
4/2020,406,6910,4088532,9,169
5/2020,1544,63582,4088532,37,504
6/2020,2144,90308,4088532,52,107
7/2020,1930,80420,4088532,47,-134
8/2020,866,61908,4088532,21,463
9/2020,620,43898,4088532,15,23
10/2020,594,24526,4088532,14,-450
11/2020,486,14686,4088532,11,359
12/2020,408,15536,4088532,9,379
1/2021,394,13100,4088532,9,320
2/2021,710,23638,4088532,17,-472
3/2021,2036,46188,4088532,49,79
4/2021,2412,49018,4088532,58,148
5/2021,1728,46778,4088532,42,93
6/2021,1806,54294,4088532,44,277
7/2021,1186,39340,4088532,29,-88
8/2021,790,23896,4088532,19,-466
9/2021,240,11409,4088532,5,279
10/2021,63,4841,4088532,1,118
11/2021,57,3971,4088532,1,97
12/2021,83,5597,4088532,2,136
1/2022,111,15922,4088532,2,389
2/2022,302,26309,4088532,7,-407
Aluno: Arthur Cadore M. Barcella -  Tabela do estado: MG
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,4,550,8961395,0,6
4/2020,160,3104,8961395,1,34
5/2020,378,17274,8961395,4,192
6/2020,1388,69074,8961395,15,-187
7/2020,3608,164210,8961395,40,-84
8/2020,5132,178902,8961395,57,79
9/2020,4050,157224,8961395,45,-162
10/2020,3211,123859,8961395,35,-55
11/2020,2151,118473,8961395,24,-115
12/2020,3722,253148,8961395,41,-50
1/2021,6316,383154,8961395,70,-37
2/2021,7010,288438,8961395,78,-136
3/2021,11534,490416,8961395,128,200
4/2021,18734,470448,8961395,209,-22
5/2021,13596,425734,8961395,151,-41
6/2021,9595,392921,8961395,107,71
7/2021,4219,162776,8961395,47,-100
8/2021,2525,99814,8961395,28,155
9/2021,11376,457562,8961395,126,-166
10/2021,1035,44889,8961395,11,21
11/2021,616,22808,8961395,6,-224
12/2021,461,15910,8961395,5,177
1/2022,655,489596,8961395,7,191
2/2022,2331,485913,8961395,26,150
Aluno: Arthur Cadore M. Barcella -  Tabela do estado: MS
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,2,96,1610707,0,5
4/2020,16,414,1610707,0,25
5/2020,22,2626,1610707,1,163
6/2020,130,14216,1610707,8,882
7/2020,608,34126,1610707,37,-547
8/2020,1000,48162,1610707,62,323
9/2020,844,40838,1610707,52,-131
10/2020,582,24758,1610707,36,-1129
11/2020,356,35066,1610707,22,-489
12/2020,1134,69198,1610707,70,-1036
1/2021,1148,53242,1610707,71,638
2/2021,818,41220,1610707,50,-107
3/2021,2008,70952,1610707,124,-927
4/2021,2850,63152,1610707,176,1254
5/2021,2216,87288,1610707,137,86
6/2021,2701,86144,1610707,167,15
7/2021,1475,41426,1610707,91,-94
8/2021,738,22302,1610707,45,-1281
9/2021,182,4198,1610707,11,260
10/2021,82,3417,1610707,5,212
11/2021,41,2372,1610707,2,147
12/2021,42,1642,1610707,2,101
1/2022,169,47631,1610707,10,290
2/2022,439,74725,1610707,27,-693
Aluno: Arthur Cadore M. Barcella -  Tabela do estado: MT
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,0,50,1464976,0,3
4/2020,22,554,1464976,1,37
5/2020,104,4366,1464976,7,298
6/2020,1132,27638,1464976,77,-1045
7/2020,2399,71324,1464976,163,-994
8/2020,1358,53679,1464976,92,732
9/2020,646,31795,1464976,44,-761
10/2020,396,19578,1464976,27,1336
11/2020,2227,108980,1464976,152,-1356
12/2020,756,42938,1464976,51,0
1/2021,1218,73138,1464976,83,-871
2/2021,1354,67738,1464976,92,-1239
3/2021,3738,118896,1464976,255,-679
4/2021,4206,103514,1464976,287,1202
5/2021,2336,90828,1464976,159,336
6/2021,2150,89750,1464976,146,262
7/2021,1504,75860,1464976,102,-685
8/2021,1408,60032,1464976,96,1166
9/2021,658,33624,1464976,44,-636
10/2021,248,19712,1464976,16,1345
11/2021,142,11672,1464976,9,796
12/2021,110,10110,1464976,7,690
1/2022,496,142870,1464976,33,957
2/2022,846,155844,1464976,57,-1089
Aluno: Arthur Cadore M. Barcella -  Tabela do estado: PA
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,0,68,4354178,0,1
4/2020,448,5930,4354178,10,136
5/2020,5398,69924,4354178,123,-366
6/2020,4074,135784,4354178,93,159
7/2020,1580,100400,4354178,36,333
8/2020,852,89864,4354178,19,91
9/2020,812,61516,4354178,18,426
10/2020,338,42674,4354178,7,-6
11/2020,334,36296,4354178,7,-152
12/2020,562,45148,4354178,12,50
1/2021,912,71368,4354178,20,-333
2/2021,1976,71850,4354178,45,-322
3/2021,3720,109922,4354178,85,-434
4/2021,5160,105228,4354178,118,443
5/2021,2880,90032,4354178,66,94
6/2021,1936,73358,4354178,44,-288
7/2021,1132,35640,4354178,25,-167
8/2021,808,23724,4354178,18,-441
9/2021,398,14422,4354178,9,331
10/2021,172,13696,4354178,3,314
11/2021,295,19026,4354178,6,436
12/2021,389,34700,4354178,8,-189
1/2022,522,48081,4354178,11,117
2/2022,860,133692,4354178,19,111
Aluno: Arthur Cadore M. Barcella -  Tabela do estado: PB
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,2,36,3215849,0,1
4/2020,132,1816,3215849,4,56
5/2020,586,24472,3215849,18,-574
6/2020,1234,67595,3215849,38,-569
7/2020,1668,71669,3215849,51,-442
8/2020,1278,45968,3215849,39,93
9/2020,748,30978,3215849,23,-372
10/2020,554,23764,3215849,17,-596
11/2020,388,24208,3215849,12,-582
12/2020,754,42462,3215849,23,-15
1/2021,768,50200,3215849,23,225
2/2021,880,59062,3215849,27,501
3/2021,2496,76116,3215849,77,-304
4/2021,2104,66992,3215849,65,-587
5/2021,1752,76592,3215849,54,-289
6/2021,1868,130954,3215849,58,65
7/2021,762,51212,3215849,23,256
8/2021,349,19836,3215849,10,616
9/2021,125,8352,3215849,3,259
10/2021,111,4337,3215849,3,134
11/2021,107,14569,3215849,3,453
12/2021,67,3755,3215849,2,116
1/2022,120,34588,3215849,3,-260
2/2022,376,76253,3215849,11,-299
Aluno: Arthur Cadore M. Barcella -  Tabela do estado: PE
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
2/2020,0,0,0,
3/2020,12,174,3871409,0,4
4/2020,1118,13578,3871409,28,350
5/2020,4484,55148,3871409,115,315
6/2020,4044,48816,3871409,104,151
7/2020,3456,72294,3871409,89,-351
8/2020,2072,61068,3871409,53,468
9/2020,1316,43264,3871409,33,8
10/2020,752,31444,3871409,19,-297
11/2020,820,39026,3871409,21,-101
12/2020,1234,79520,3871409,31,-164
1/2021,1388,78268,3871409,35,-197
2/2021,1296,76350,3871409,33,-246
3/2021,2358,99512,3871409,60,351
4/2021,3726,114708,3871409,96,-365
5/2021,3648,151144,3871409,94,-533
6/2021,3646,136270,3871409,94,191
7/2021,2198,80986,3871409,56,-126
8/2021,1198,33488,3871409,30,-244
9/2021,714,26388,3871409,18,-427
10/2021,473,18571,3871409,12,479
11/2021,225,7845,3871409,5,202
12/2021,204,5944,3871409,5,153
1/2022,196,52586,3871409,5,248
2/2022,433,132429,3871409,11,92
Aluno: Arthur Cadore M. Barcella -  Tabela do estado: PI
Date,TotalDeaths,TotalConfirmed,PopulationMedia,Media M. P/100k,Media C. P/100k
1/2020,0,0,0,
